name,create_date,total_pull_requests,total_releases,last_commit_date,main_language,total_issues_closed,total_stars,total_issues_open
'FreeTube',2018,1946,50,'2024-08-25T17:09:18Z','JavaScript',2620,12935,73
'FinGPT',2023,40,0,'2024-07-18T06:34:35Z','Jupyter Notebook',36,12929,433
'apitable',2022,527,59,'2024-05-07T06:05:00Z','TypeScript',625,12850,476
'spree',2008,3584,198,'2024-08-23T21:34:50Z','Ruby',3966,12809,213
'abp',2016,9579,214,'2024-08-23T08:45:36Z','C#',8931,12681,57
'cesium',2012,5444,161,'2024-08-23T16:43:53Z','JavaScript',4514,12608,579
'openage',2013,774,7,'2024-08-07T22:14:41Z','Python',470,12602,1355
'Perplexica',2024,17,18,'2024-08-25T09:38:47Z','TypeScript',170,12595,216
'supertokens-core',2020,479,74,'2024-08-20T07:10:41Z','Java',372,12527,118
'botpress',2016,4414,126,'2024-08-23T20:55:45Z','TypeScript',39,12435,9
'keycastr',2009,28,22,'2024-08-25T17:30:53Z','Objective-C',181,12398,77
'awesome-aws',2015,126,1,'2023-05-28T18:27:36Z','Python',14,12336,7
'alphafold',2021,0,13,'2024-05-08T14:04:54Z','Python',601,12225,243
'libfacedetection',2015,33,2,'2023-08-01T09:55:36Z','C++',267,12220,51
'omnivore',2022,2739,30,'2024-08-23T09:47:35Z','TypeScript',695,12135,546
'rabbitmq-server',2010,6967,404,'2024-08-25T03:02:21Z','Starlark',2025,12001,2642
'MuseScore',2012,12689,58,'2024-08-25T12:22:21Z','C++',6497,11994,262
'MOSS',2023,9,0,'2024-07-13T14:52:59Z','Python',120,11903,233
'github-do-not-ban-us',2019,1199,0,'2019-08-01T19:25:10Z','JavaScript',299,11782,7
'allennlp',2017,2687,59,'2022-11-22T00:42:46Z','Python',2477,11731,80
'tinacms',2019,2343,109,'2024-08-23T07:43:32Z','TypeScript',1460,11678,115
'activitywatch',2016,126,61,'2024-07-15T09:59:31Z','Python',653,11654,134
'nocobase',2020,2966,0,'2024-08-25T17:41:31Z','TypeScript',840,11580,31
'pgvector',2021,30,0,'2024-08-25T05:10:26Z','C',541,11442,12
'QuestPDF',2021,102,70,'2024-08-10T10:40:34Z','C#',280,11437,261
'botkit',2015,510,5,'2022-04-12T18:52:13Z','TypeScript',1296,11436,25
'hyperswitch',2022,3507,142,'2024-08-23T06:43:38Z','Rust',1093,11294,420
'eos',2017,4983,113,'2021-07-19T23:22:42Z','C++',4750,11273,37
'illa-builder',2022,2922,205,'2024-08-20T02:59:51Z','TypeScript',402,11262,304
'Open-Sora-Plan',2024,67,3,'2024-08-23T03:14:30Z','Python',80,11165,192
'gophish',2013,185,17,'2023-09-15T14:45:30Z','Go',2334,11142,477
'carla',2017,1369,26,'2024-07-31T13:23:11Z','C++',4371,11040,1056
'mono',2010,13828,0,'2024-05-13T16:28:40Z','C#',2878,10996,2157
'material-dashboard',2016,29,8,'2024-06-26T07:45:50Z','SCSS',156,10982,8
'golang-open-source-projects',2016,13,0,'2020-03-27T06:03:52Z','N/A',13,10909,18
'unleash',2014,6534,760,'2024-08-23T15:17:57Z','TypeScript',720,10907,15
'snipe-it',2013,2963,254,'2024-08-23T16:58:08Z','PHP',9148,10744,1603
'OpenRefine',2012,3005,60,'2024-08-23T13:30:39Z','Java',2455,10737,157
